web-scraper-order,web-scraper-start-url,Links,Links-href,image-src,title,price,description,white roses,white roses-aria-label,pink roses,pink roses-aria-label,orange roses,orange roses-aria-label,red roses,red roses-aria-label,buy vase,custom roses number,custom roses number-aria-label
"1700919577-1","https://www.flowerloveflorist.com/","Charming","https://www.flowerloveflorist.com/?store-page=Charming-p100315570","https://d2j6dbq0eux0bg.cloudfront.net/images/13071795/2905701448.jpg","Charming","N$650.00","Charming - the love bouquet for the unique.","[]","","[]","","[]","","[]","","[]","[{""custom roses number"":""Please chooseNo vaseAdd a Vase (+N$220.00)"",""custom roses number-aria-label"":""Vase""}]",""
"1700919635-2","https://www.flowerloveflorist.com/","Pearl Blush","https://www.flowerloveflorist.com/?store-page=Pearl-Blush-p100315782","https://d2j6dbq0eux0bg.cloudfront.net/images/13071795/2905706492.jpg","Pearl Blush","N$500.00","A truly unique bouquet for a truly unique loved one.","[]","","[]","","[]","","[]","","[]","[{""custom roses number"":""Please chooseNoYes (+N$200.00)"",""custom roses number-aria-label"":""Vase""}]",""
"1700919693-3","https://www.flowerloveflorist.com/","Amour","https://www.flowerloveflorist.com/?store-page=Amour-p100467566","https://d2j6dbq0eux0bg.cloudfront.net/images/13071795/2905731136.jpg","Amour","N$450.00","My Love - in flowers.","[]","","[]","","[]","","[]","","[]","[]",""
"1700919752-4","https://www.flowerloveflorist.com/","Golden Times","https://www.flowerloveflorist.com/?store-page=Golden-Times-p101446138","https://d2j6dbq0eux0bg.cloudfront.net/images/13071795/2905729583.jpg","Golden Times","N$450.00","A bunch of poise and grace.","[]","","[]","","[]","","[]","","[]","[]",""
"1700919810-5","https://www.flowerloveflorist.com/","Simply You","https://www.flowerloveflorist.com/?store-page=Simply-You-p105699050","https://d2j6dbq0eux0bg.cloudfront.net/images/13071795/2905732925.jpg","Simply You","N$420.00","Simple elegance.","[]","","[]","","[]","","[]","","[]","[]",""
"1700919869-6","https://www.flowerloveflorist.com/","Thinking of You","https://www.flowerloveflorist.com/?store-page=Thinking-of-You-p105699064","https://d2j6dbq0eux0bg.cloudfront.net/images/13071795/2905737446.jpg","Thinking of You","N$550.00","You are on my mind.","[]","","[]","","[]","","[]","","[]","[{""custom roses number"":""Please chooseNo vaseAdd vase (+N$220.00)"",""custom roses number-aria-label"":""Vase""}]",""
"1700919927-7","https://www.flowerloveflorist.com/","Pink Perfection","https://www.flowerloveflorist.com/?store-page=Pink-Perfection-p105699069","https://d2j6dbq0eux0bg.cloudfront.net/images/13071795/2905714898.jpg","Pink Perfection","N$650.00","Subtle bouquet teeming with love.","[]","","[]","","[]","","[]","","[]","[]",""
"1700919985-8","https://www.flowerloveflorist.com/","Tropical Summer","https://www.flowerloveflorist.com/?store-page=Tropical-Summer-p105699082","https://d2j6dbq0eux0bg.cloudfront.net/images/13071795/2905721153.jpg","Tropical Summer","N$450.00","Fun contrasting colours on display.","[]","","[]","","[]","","[]","","[]","[]",""
"1700920044-9","https://www.flowerloveflorist.com/","Romance","https://www.flowerloveflorist.com/?store-page=Romance-p105699111","https://d2j6dbq0eux0bg.cloudfront.net/images/13071795/2905740722.jpg","Romance","N$1 160.00","Love of my life.","[]","","[]","","[]","","[]","","[]","[{""custom roses number"":""Please chooseNo vaseAdd vase (+N$220.00)"",""custom roses number-aria-label"":""Vase""}]",""
"1700920102-10","https://www.flowerloveflorist.com/","Colour Burst","https://www.flowerloveflorist.com/?store-page=Colour-Burst-p105699121","https://d2j6dbq0eux0bg.cloudfront.net/images/13071795/2905731989.jpg","Colour Burst","N$500.00","A bundle bursting with colour and fun.","[]","","[]","","[]","","[]","","[]","[{""custom roses number"":""Please chooseNo vaseAdd vase (+N$200.00)"",""custom roses number-aria-label"":""Vase""}]",""
"1700920162-11","https://www.flowerloveflorist.com/","Get Well Soon Hamper","https://www.flowerloveflorist.com/?store-page=Get-Well-Soon-Hamper-p491443253","https://d2j6dbq0eux0bg.cloudfront.net/images/13071795/3218155670.jpg","Get Well Soon Hamper","N$550.00","A  bouquet of health and love.","[]","","[]","","[]","","[]","","[]","[]",""
"1700920220-12","https://www.flowerloveflorist.com/","Pamper Hamper","https://www.flowerloveflorist.com/?store-page=Pamper-Hamper-p491407557","https://d2j6dbq0eux0bg.cloudfront.net/images/13071795/3218178096.jpg","Pamper Hamper","N$870.00","Something soothing for you and your soul.","[]","","[]","","[]","","[]","","[]","[]",""
"1700920280-13","https://www.flowerloveflorist.com/","Pink Pamper Hamper","https://www.flowerloveflorist.com/?store-page=Pink-Pamper-Hamper-p491350705","https://d2j6dbq0eux0bg.cloudfront.net/images/13071795/3218178141.jpg","Pink Pamper Hamper","N$820.00","Because you deserve a Pink Pamper.","[]","","[]","","[]","","[]","","[]","[]",""
"1700920341-14","https://www.flowerloveflorist.com/","Baby Boom Hamper","https://www.flowerloveflorist.com/?store-page=Baby-Boom-Hamper-p491443256","https://d2j6dbq0eux0bg.cloudfront.net/images/13071795/3218194503.jpg","Baby Boom Hamper","N$600.00","For the mom and baby.","[]","","[]","","[]","","[]","","[]","[]",""
"1700920403-15","https://www.flowerloveflorist.com/","Purple Deluxe Hamper","https://www.flowerloveflorist.com/?store-page=Purple-Deluxe-Hamper-p493921408","https://d2j6dbq0eux0bg.cloudfront.net/images/13071795/3236225645.jpg","Purple Deluxe Hamper","N$800.00","Upgrade this beautiful hamper by adding more red roses.","[]","","[]","","[]","","[]","","[{""buy vase"":""Buy a VaseNoYes (+N$200.00)""}]","[{""custom roses number"":""Please choose10 (+N$400.00)15 (+N$600.00)20 (+N$800.00)"",""custom roses number-aria-label"":""Customize Amount of Roses""}]",""
"1700920462-16","https://www.flowerloveflorist.com/","Cream Deluxe Hamper","https://www.flowerloveflorist.com/?store-page=Cream-Deluxe-Hamper-p493916920","https://d2j6dbq0eux0bg.cloudfront.net/images/13071795/3236249293.jpg","Cream Deluxe Hamper","N$800.00","Pick and choose your colours and size of bouquet with this luxurious hamper.","[{""white roses"":""Please choose010 (+N$400.00)15 (+N$600.00)20 (+N$800.00)"",""white roses-aria-label"":""White Roses""}]","","[{""pink roses"":""Please choose010 (+N$400.00)15 (+N$600.00)20 (+N$800.00)"",""pink roses-aria-label"":""Pink Roses""}]","","[{""orange roses"":""Please choose010 (+N$400.00)15 (+N$600.00)20 (+N$800.00)"",""orange roses-aria-label"":""Orange Roses""}]","","[{""red roses"":""Please choose010 (+N$400.00)15 (+N$600.00)20 (+N$800.00)"",""red roses-aria-label"":""Red Roses""}]","","[{""buy vase"":""Buy a VaseNoYes (+N$200.00)""}]","[{""custom roses number"":""Please choose010 (+N$400.00)15 (+N$600.00)20 (+N$800.00)"",""custom roses number-aria-label"":""White Roses""},{""custom roses number"":""Please choose010 (+N$400.00)15 (+N$600.00)20 (+N$800.00)"",""custom roses number-aria-label"":""Pink Roses""},{""custom roses number"":""Please choose010 (+N$400.00)15 (+N$600.00)20 (+N$800.00)"",""custom roses number-aria-label"":""Orange Roses""},{""custom roses number"":""Please choose010 (+N$400.00)15 (+N$600.00)20 (+N$800.00)"",""custom roses number-aria-label"":""Red Roses""}]",""
"1700920525-17","https://www.flowerloveflorist.com/","Secret Admirer","https://www.flowerloveflorist.com/?store-page=Secret-Admirer-p528185351","https://d2j6dbq0eux0bg.cloudfront.net/images/13071795/3444532852.jpg","Secret Admirer","N$1 800.00","The admirer may be a secret, but the admiration is not.","[]","","[]","","[]","","[]","","[{""buy vase"":""DeliveryNoYes (+N$80.00)""}]","[]",""
"1700920587-18","https://www.flowerloveflorist.com/","I Love You","https://www.flowerloveflorist.com/?store-page=I-Love-You-p528177749","https://d2j6dbq0eux0bg.cloudfront.net/images/13071795/3444601651.jpg","I Love You","N$600.00","There is no such thing as too many roses.","[]","","[]","","[]","","[]","","[{""buy vase"":""Add some Greenery and GypsNoYes (+N$100.00)""},{""buy vase"":""Add a vaseNoYes (+N$220.00)""}]","[{""custom roses number"":""Please choose10 Roses (+N$600.00)15 Roses (+N$900.00)20 Roses (+N$1 200.00)"",""custom roses number-aria-label"":""How Many Roses""}]",""
